date,NDA,UPA,Others
2017-08-19,83,63,99
2017-08-20,83,63,99
2017-08-21,83,63,99
2017-08-22,83,63,99
2017-08-23,83,63,99
2017-08-24,83,63,99
2017-08-25,83,63,99
2017-08-26,83,63,99
2017-08-27,83,63,99
2017-08-28,83,63,99
2017-08-29,83,63,99
2017-08-30,83,63,99
2017-08-31,83,63,99
2017-09-01,83,63,99
2017-09-02,83,63,99
2017-09-03,83,63,99
2017-09-04,83,63,99
2017-09-05,83,63,99
2017-09-06,83,63,99
2017-09-07,83,63,99
2017-09-08,83,63,99
2017-09-09,83,63,99
2017-09-10,83,63,99
2017-09-11,83,63,99
2017-09-12,83,63,99
2017-09-13,83,63,99
2017-09-14,83,63,99
2017-09-15,83,63,99
2017-09-16,83,63,99
2017-09-17,83,63,99
2017-09-18,83,63,99
2017-09-19,83,63,99
2017-09-20,83,63,99
2017-09-21,83,63,99
2017-09-22,83,63,99
2017-09-23,83,63,99
2017-09-24,83,63,99
2017-09-25,83,63,99
2017-09-26,83,63,99
2017-09-27,83,63,99
2017-09-28,83,63,99
2017-09-29,83,63,99
2017-09-30,83,63,99
2017-10-01,83,63,99
2017-10-02,83,63,99
2017-10-03,83,63,99
2017-10-04,83,63,99
2017-10-05,83,63,99
2017-10-06,83,63,99
2017-10-07,83,63,99
2017-10-08,83,63,99
2017-10-09,83,63,99
2017-10-10,83,63,99
2017-10-11,83,63,99
2017-10-12,83,63,99
2017-10-13,83,63,99
2017-10-14,83,63,99
2017-10-15,83,63,99
2017-10-16,83,63,99
2017-10-17,83,63,99
2017-10-18,83,63,99
2017-10-19,83,63,99
2017-10-20,83,63,99
2017-10-21,83,63,99
2017-10-22,83,63,99
2017-10-23,83,63,99
2017-10-24,83,63,99
2017-10-25,83,63,99
2017-10-26,83,63,99
2017-10-27,83,63,99
2017-10-28,83,63,99
2017-10-29,83,63,99
2017-10-30,83,63,99
2017-10-31,83,63,99
2017-11-01,83,63,99
2017-11-02,83,63,99
