date,NDA,UPA,Others
2017-08-19,81,62,102
2017-08-20,81,62,102
2017-08-21,81,62,102
2017-08-22,81,62,102
2017-08-23,81,62,102
2017-08-24,81,62,102
2017-08-25,81,62,102
2017-08-26,81,62,102
2017-08-27,81,62,102
2017-08-28,81,62,102
2017-08-29,81,62,102
2017-08-30,81,62,102
2017-08-31,81,62,102
2017-09-01,81,62,102
2017-09-02,81,62,102
2017-09-03,81,62,102
2017-09-04,81,62,102
2017-09-05,81,62,102
2017-09-06,81,62,102
2017-09-07,81,62,102
2017-09-08,81,62,102
2017-09-09,81,62,102
2017-09-10,81,62,102
2017-09-11,81,62,102
2017-09-12,81,62,102
2017-09-13,81,62,102
2017-09-14,81,62,102
2017-09-15,81,62,102
2017-09-16,81,62,102
2017-09-17,81,62,102
2017-09-18,81,62,102
2017-09-19,81,62,102
2017-09-20,81,62,102
2017-09-21,81,62,102
2017-09-22,81,62,102
2017-09-23,81,62,102
2017-09-24,81,62,102
2017-09-25,81,62,102
2017-09-26,81,62,102
2017-09-27,81,62,102
2017-09-28,81,62,102
2017-09-29,81,62,102
2017-09-30,81,62,102
2017-10-01,81,62,102
2017-10-02,81,62,102
2017-10-03,81,62,102
2017-10-04,81,62,102
2017-10-05,81,62,102
2017-10-06,81,62,102
2017-10-07,81,62,102
2017-10-08,81,62,102
2017-10-09,81,62,102
2017-10-10,81,62,102
2017-10-11,81,62,102
2017-10-12,81,62,102
2017-10-13,81,62,102
2017-10-14,81,62,102
2017-10-15,81,62,102
2017-10-16,81,62,102
2017-10-17,81,62,102
2017-10-18,81,62,102
2017-10-19,81,62,102
2017-10-20,81,62,102
2017-10-21,81,62,102
2017-10-22,81,62,102
2017-10-23,81,62,102
2017-10-24,81,62,102
2017-10-25,81,62,102
2017-10-26,81,62,102
2017-10-27,81,62,102
2017-10-28,81,62,102
2017-10-29,81,62,102
2017-10-30,81,62,102
2017-10-31,81,62,102
2017-11-01,81,62,102
2017-11-02,81,62,102
2017-11-03,81,62,102
2017-11-04,81,62,102
2017-11-05,81,62,102
2017-11-06,81,62,102
2017-11-07,81,62,102
2017-11-08,81,62,102
2017-11-09,81,62,102
2017-11-10,81,62,102
2017-11-11,81,62,102
2017-11-12,81,62,102
2017-11-13,81,62,102
2017-11-14,81,62,102
2017-11-15,81,62,102
2017-11-16,81,62,102
2017-11-17,81,62,102
2017-11-18,81,62,102
2017-11-19,81,62,102
2017-11-20,81,62,102
2017-11-21,81,62,102
2017-11-22,81,62,102
2017-11-23,81,62,102
2017-11-24,81,62,102
2017-11-25,81,62,102
2017-11-26,81,62,102
2017-11-27,81,62,102
2017-11-28,81,62,102
2017-11-29,81,62,102
2017-11-30,81,62,102
2017-12-01,81,62,102
2017-12-02,81,62,102
2017-12-03,81,62,102
