date,NDA,UPA,Others
2017-08-01,83,63,99
2017-08-02,83,63,99
2017-08-03,83,63,99
2017-08-04,83,63,99
2017-08-05,83,63,99
2017-08-06,83,63,99
2017-08-07,83,63,99
2017-08-08,83,63,99
2017-08-09,83,63,99
2017-08-10,83,63,99
2017-08-11,83,63,99
2017-08-12,83,63,99
2017-08-13,83,63,99
2017-08-14,83,63,99
2017-08-15,83,63,99
2017-08-16,83,63,99
2017-08-17,83,63,99
2017-08-18,83,63,99
2017-08-19,82,61,102
2017-08-20,82,61,102
2017-08-21,82,61,102
2017-08-22,82,61,102
2017-08-23,82,61,102
2017-08-24,82,61,102
2017-08-25,82,61,102
2017-08-26,82,61,102
2017-08-27,82,61,102
2017-08-28,82,61,102
2017-08-29,82,61,102
2017-08-30,82,61,102
2017-08-31,82,61,102
2017-09-01,82,61,102
2017-09-02,82,61,102
2017-09-03,82,61,102
2017-09-04,82,61,102
2017-09-05,82,61,102
2017-09-06,82,61,102
2017-09-07,82,61,102
2017-09-08,82,61,102
2017-09-09,82,61,102
2017-09-10,82,61,102
2017-09-11,82,61,102
2017-09-12,82,61,102
2017-09-13,82,61,102
2017-09-14,82,61,102
2017-09-15,82,61,102
2017-09-16,82,61,102
2017-09-17,82,61,102
2017-09-18,82,61,102
2017-09-19,82,61,102
2017-09-20,82,61,102
2017-09-21,82,61,102
2017-09-22,82,61,102
2017-09-23,82,61,102
2017-09-24,82,61,102
2017-09-25,82,61,102
2017-09-26,82,61,102
2017-09-27,82,61,102
2017-09-28,82,61,102
2017-09-29,82,61,102
2017-09-30,82,61,102
2017-10-01,82,61,102
2017-10-02,82,61,102
2017-10-03,82,61,102
2017-10-04,82,61,102
2017-10-05,82,61,102
2017-10-06,82,61,102
2017-10-07,82,61,102
2017-10-08,82,61,102
2017-10-09,82,61,102
2017-10-10,82,61,102
2017-10-11,82,61,102
2017-10-12,82,61,102
2017-10-13,82,61,102
2017-10-14,82,61,102
2017-10-15,82,61,102
2017-10-16,82,61,102
2017-10-17,82,61,102
2017-10-18,82,61,102
2017-10-19,82,61,102
2017-10-20,82,61,102
2017-10-21,82,61,102
2017-10-22,82,61,102
2017-10-23,82,61,102
2017-10-24,82,61,102
2017-10-25,82,61,102
2017-10-26,82,61,102
2017-10-27,82,61,102
2017-10-28,82,61,102
2017-10-29,82,61,102
2017-10-30,82,61,102
2017-10-31,82,61,102
2017-11-01,82,61,102
2017-11-02,82,61,102
2017-11-03,82,61,102
2017-11-04,82,61,102
2017-11-05,82,61,102
2017-11-06,82,61,102
2017-11-07,82,61,102
2017-11-08,82,61,102
2017-11-09,82,61,102
2017-11-10,82,61,102
2017-11-11,82,61,102
2017-11-12,82,61,102
2017-11-13,82,61,102
2017-11-14,82,61,102
2017-11-15,82,61,102
2017-11-16,82,61,102
2017-11-17,82,61,102
2017-11-18,82,61,102
2017-11-19,82,61,102
2017-11-20,82,61,102
2017-11-21,82,61,102
2017-11-22,82,61,102
2017-11-23,82,61,102
2017-11-24,82,61,102
2017-11-25,82,61,102
2017-11-26,82,61,102
2017-11-27,82,61,102
