date,nda,upa,oth,ndax,upax,othx
2017-08-19,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-20,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-21,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-22,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-23,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-24,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-25,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-26,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-27,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-28,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-29,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-30,83.0,63.0,99.0,83.0,63.0,99.0
2017-08-31,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-01,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-02,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-03,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-04,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-05,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-06,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-07,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-08,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-09,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-10,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-11,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-12,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-13,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-14,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-15,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-16,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-17,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-18,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-19,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-20,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-21,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-22,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-23,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-24,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-25,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-26,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-27,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-28,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-29,83.0,63.0,99.0,83.0,63.0,99.0
2017-09-30,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-01,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-02,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-03,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-04,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-05,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-06,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-07,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-08,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-09,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-10,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-11,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-12,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-13,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-14,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-15,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-16,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-17,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-18,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-19,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-20,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-21,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-22,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-23,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-24,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-25,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-26,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-27,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-28,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-29,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-30,83.0,63.0,99.0,83.0,63.0,99.0
2017-10-31,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-01,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-02,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-03,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-04,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-05,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-06,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-07,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-08,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-09,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-10,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-11,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-12,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-13,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-14,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-15,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-16,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-17,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-18,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-19,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-20,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-21,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-22,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-23,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-24,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-25,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-26,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-27,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-28,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-29,83.0,63.0,99.0,83.0,63.0,99.0
2017-11-30,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-01,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-02,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-03,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-04,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-05,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-06,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-07,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-08,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-09,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-10,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-11,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-12,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-13,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-14,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-15,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-16,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-17,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-18,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-19,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-20,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-21,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-22,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-23,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-24,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-25,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-26,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-27,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-28,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-29,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-30,83.0,63.0,99.0,83.0,63.0,99.0
2017-12-31,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-01,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-02,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-03,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-04,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-05,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-06,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-07,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-08,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-09,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-10,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-11,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-12,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-13,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-14,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-15,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-16,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-17,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-18,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-19,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-20,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-21,83.0,63.0,99.0,83.0,63.0,99.0
2018-01-22,83.0,63.0,99.0,83.0,63.0,99.0
