date,nda,upa,oth,ndax,upax,othx
01-08-2017,83,63,99,83,63,99
02-08-2017,83,63,99,83,63,99
03-08-2017,83,63,99,83,63,99
04-08-2017,83,63,99,83,63,99
05-08-2017,83,63,99,83,63,99
06-08-2017,83,63,99,83,63,99
07-08-2017,83,63,99,83,63,99
08-08-2017,83,63,99,83,63,99
09-08-2017,83,63,99,83,63,99
10-08-2017,83,63,99,83,63,99
11-08-2017,83,63,99,83,63,99
12-08-2017,83,63,99,83,63,99
13-08-2017,83,63,99,83,63,99
14-08-2017,83,63,99,83,63,99
15-08-2017,83,63,99,83,63,99
16-08-2017,83,63,99,83,63,99
17-08-2017,83,63,99,83,63,99
18-08-2017,83,63,99,83,63,99
19-08-2017,82,61,102,82,61,102
20-08-2017,82,61,102,82,61,102
21-08-2017,82,61,102,82,61,102
22-08-2017,82,61,102,82,61,102
23-08-2017,82,61,102,82,61,102
24-08-2017,82,61,102,82,61,102
25-08-2017,82,61,102,82,61,102
26-08-2017,82,61,102,82,61,102
27-08-2017,82,61,102,82,61,102
28-08-2017,82,61,102,82,61,102
29-08-2017,82,61,102,82,61,102
30-08-2017,82,61,102,82,61,102
31-08-2017,82,61,102,82,61,102
01-09-2017,82,61,102,82,61,102
02-09-2017,82,61,102,82,61,102
03-09-2017,82,61,102,82,61,102
04-09-2017,82,61,102,82,61,102
05-09-2017,82,61,102,82,61,102
06-09-2017,82,61,102,82,61,102
07-09-2017,82,61,102,82,61,102
08-09-2017,82,61,102,82,61,102
09-09-2017,82,61,102,82,61,102
10-09-2017,82,61,102,82,61,102
11-09-2017,82,61,102,82,61,102
12-09-2017,82,61,102,82,61,102
13-09-2017,82,61,102,82,61,102
14-09-2017,82,61,102,82,61,102
15-09-2017,82,61,102,82,61,102
16-09-2017,82,61,102,82,61,102
17-09-2017,82,61,102,82,61,102
18-09-2017,82,61,102,82,61,102
19-09-2017,82,61,102,82,61,102
20-09-2017,82,61,102,82,61,102
21-09-2017,82,61,102,82,61,102
22-09-2017,82,61,102,82,61,102
23-09-2017,82,61,102,82,61,102
24-09-2017,82,61,102,82,61,102
