state,term_begins,term_ends
Andhra Pradesh,19-06-2014,18-06-2019
Arunachal Pradesh,02-06-2014,01-06-2019
Assam,02-06-2016,01-06-2021
Bihar,30-11-2015,29-11-2020
Chhattisgarh,06-01-2014,05-01-2019
Delhi,23-02-2015,22-02-2020
Goa,16-03-2017,15-03-2022
Gujarat,23-01-2013,22-01-2018
Haryana,03-11-2014,02-11-2019
Himachal Pradesh,08-01-2013,07-01-2018
Jammu & Kashmir,17-03-2015,16-03-2021
Jharkhand,06-01-2015,05-01-2020
Karnataka,29-05-2013,28-05-2018
Kerala,02-06-2016,01-06-2021
Madhya Pradesh,08-01-2014,07-01-2019
Maharashtra,10-11-2014,09-11-2019
Manipur,21-03-2017,20-03-2022
Meghalaya,07-03-2013,06-03-2018
Mizoram,16-12-2013,15-12-2018
Nagaland,14-03-2013,13-03-2018
Odisha,12-06-2014,11-06-2019
Puducherry,11-06-2016,10-06-2021
Punjab,24-03-2017,23-03-2022
Rajasthan,21-01-2014,20-01-2019
Sikkim,28-05-2014,27-05-2019
Tamil Nadu,25-05-2016,24-05-2021
Telangana,09-06-2014,08-06-2019
Tripura,15-03-2013,14-03-2018
Uttar Pradesh,15-05-2017,14-05-2022
Uttarakhand,24-03-2017,23-03-2022
West Bengal,17-06-2016,16-06-2021
