seat_number,state,notification_date,retirement_date,diff_dates,party_short,party_full,alliance,name,cycle_category,notes,poll_notification_url
1,Gujarat,19-08-2011,18-08-2017,2191,BJP,Bharatiya Janta Party,NDA,"Irani, Smt. Smriti Zubin",A,3 out of 3,http://eci.nic.in/eci_main1/current/pn20062011A.pdf
2,Gujarat,19-08-2011,18-08-2017,2191,BJP,Bharatiya Janta Party,NDA,"Pandya, Shri Dilipbhai",A,3 out of 3,http://eci.nic.in/eci_main1/current/pn20062011A.pdf
3,Gujarat,19-08-2011,18-08-2017,2191,INC,Indian National Congress,UPA,"Patel, Shri Ahmed",A,3 out of 3,http://eci.nic.in/eci_main1/current/pn20062011A.pdf
4,West Bengal,19-08-2017,18-08-2023,2191,INC,Indian National Congress,UPA,"Bhattacharya, Shri P.",A,"6 elected, 5 retiring",http://eci.nic.in/eci_main1/current/PN59_14112017.pdf
5,West Bengal,19-08-2017,18-08-2023,2191,AITC,All India Trinamool Congress,0,"Sen, Ms. Dola",A,"6 elected, 5 retiring",http://eci.nic.in/eci_main1/current/PN59_14112017.pdf
6,West Bengal,19-08-2017,18-08-2023,2191,AITC,All India Trinamool Congress,0,"Chetri, Santa",A,"6 elected, 5 retiring",http://eci.nic.in/eci_main1/current/PN59_14112017.pdf
7,West Bengal,19-08-2017,18-08-2023,2191,AITC,All India Trinamool Congress,0,"O Brien, Shri Derek",A,"6 elected, 5 retiring",http://eci.nic.in/eci_main1/current/PN59_14112017.pdf
8,West Bengal,19-08-2017,18-08-2023,2191,AITC,All India Trinamool Congress,0,"Roy, Shri Sukhendu Sekhar",A,"6 elected, 5 retiring",http://eci.nic.in/eci_main1/current/PN59_14112017.pdf
9,West Bengal,19-08-2017,18-08-2023,2191,AITC,All India Trinamool Congress,0,"Bhunia, Manas",A,"6 elected, 5 retiring",http://eci.nic.in/eci_main1/current/PN59_14112017.pdf
10,Delhi,28-01-2012,27-01-2018,2191,INC,Indian National Congress,UPA,"Dwivedi, Shri Janardan",A,separate election,http://eci.nic.in/eci_main1/current/PN19122011.pdf
11,Delhi,28-01-2012,27-01-2018,2191,INC,Indian National Congress,UPA,"Hashmi, Shri Parvez",B,separate election,http://eci.nic.in/eci_main1/current/PN19122011.pdf
12,Delhi,28-01-2012,27-01-2018,2191,INC,Indian National Congress,UPA,"Karan Singh, Dr.",C,separate election,http://eci.nic.in/eci_main1/current/PN19122011.pdf
13,Sikkim,24-02-2012,23-02-2018,2191,SDF,Sikkim Democratic Front,NDA,"Lachungpa, Shri Hishey",A,1 out of 1,http://eci.nic.in/eci_main1/current/PN412012.pdf
14,Andhra Pradesh,03-04-2012,02-04-2018,2190,TDP,Telugu Desam,NDA,"Goud T., Shri Devender",A,"6 elected, 3 retiring",http://eci.nic.in/eci_main1/current/PN03032012.pdf
15,Andhra Pradesh,03-04-2012,02-04-2018,2190,INC,Indian National Congress,UPA,"Chiranjeevi, Dr. K.",A,"6 elected, 3 retiring",http://eci.nic.in/eci_main1/current/PN03032012.pdf
16,Andhra Pradesh,03-04-2012,02-04-2018,2190,INC,Indian National Congress,UPA,"Chowdhury, Smt. Renuka",A,"6 elected, 3 retiring",http://eci.nic.in/eci_main1/current/PN03032012.pdf
17,Bihar,03-04-2012,02-04-2018,2190,BJP,Bharatiya Janta Party,NDA,"Pradhan, Shri Dharmendra",A,6 out of 6,http://eci.nic.in/eci_main1/current/PN03032012.pdf
18,Bihar,03-04-2012,02-04-2018,2190,BJP,Bharatiya Janta Party,NDA,"Prasad, Shri Ravi Shankar",A,6 out of 6,http://eci.nic.in/eci_main1/current/PN03032012.pdf
19,Bihar,03-04-2012,02-04-2018,2190,JD(U),Janata Dal (United),NDA,"Ansari, Shri Ali Anwar",A,6 out of 6,http://eci.nic.in/eci_main1/current/PN03032012.pdf
20,Bihar,03-04-2012,02-04-2018,2190,JD(U),Janata Dal (United),NDA,"Mahendra Prasad, Dr.",A,6 out of 6,http://eci.nic.in/eci_main1/current/PN03032012.pdf
21,Bihar,03-04-2012,02-04-2018,2190,JD(U),Janata Dal (United),NDA,"Sahani, Dr. Anil Kumar",A,6 out of 6,http://eci.nic.in/eci_main1/current/PN03032012.pdf
22,Bihar,03-04-2012,02-04-2018,2190,JD(U),Janata Dal (United),NDA,"Singh, Shri Bashistha Narain",A,6 out of 6,http://eci.nic.in/eci_main1/current/PN03032012.pdf
23,Chhattisgarh,03-04-2012,02-04-2018,2190,BJP,Bharatiya Janta Party,NDA,"Jangde, Dr. Bhushan Lal",A,1 out of 1,http://eci.nic.in/eci_main1/current/PN03032012.pdf
24,Gujarat,07-06-2016,02-04-2018,664,BJP,Bharatiya Janta Party,NDA,"Rupala, Shri Parshottam",A,,http://indiatoday.intoday.in/story/parshottam-rupala-elected-to-rajya-sabha-from-gujarat/1/684680.html
25,Gujarat,03-04-2012,02-04-2018,2190,BJP,Bharatiya Janta Party,NDA,"Jaitley, Shri Arun",A,"4 elected, 3 retiring",http://eci.nic.in/eci_main1/current/PN03032012.pdf
26,Gujarat,03-04-2012,02-04-2018,2190,BJP,Bharatiya Janta Party,NDA,"Mandaviya, Shri Mansukh L.",A,"4 elected, 3 retiring",http://eci.nic.in/eci_main1/current/PN03032012.pdf
27,Gujarat,03-04-2012,02-04-2018,2190,BJP,Bharatiya Janta Party,NDA,"Vegad, Shri Shankarbhai N.",A,"4 elected, 3 retiring",http://eci.nic.in/eci_main1/current/PN03032012.pdf
